,Unnamed: 0,Node Name,Level,Type
1450,1450,13_2102212202,6,L
1451,1451,14_2102212202,6,L
1452,1452,15_2102212101,6,L
1453,1453,16_2102212101,6,L
1454,1454,19_2102210101,6,L
1455,1455,20_2102210101,6,L
1456,1456,25_2100002001,6,L
1457,1457,26_2100002001,6,L
1458,1458,27_2100002001,6,L
1459,1459,28_2100002001,6,L
1461,1461,1_2112211101,1,L
1467,1467,14_1112111111,3,L
1469,1469,2_2112001211,4,L
1470,1470,7_2112001211,4,L
1471,1471,8_1111111101,4,L
1472,1472,13_1111111111,4,L
1473,1473,15_1111111111,4,L
1474,1474,16_1111111111,4,L
1485,1485,7_1111111211,3,L
1486,1486,9_1011111011,3,L
1487,1487,10_1111111011,3,L
1489,1489,15_1111111111,3,L
1490,1490,1_1111111111,4,L
1491,1491,2_1111111111,4,L
1492,1492,3_1111111211,4,L
1493,1493,4_1111111211,4,L
1494,1494,5_1111111211,4,L
1495,1495,6_1111111211,4,L
1496,1496,13_1111111111,4,L
1497,1497,14_1111111111,4,L
1512,1512,33_1112212121,3,L
1518,1518,12_2110111001,4,L
1522,1522,23_2110000000,4,L
1526,1526,31_0101111121,4,L
1527,1527,1_0122212021,5,L
1528,1528,2_0122212021,5,L
1529,1529,3_0122212021,5,L
1530,1530,4_0022212021,5,L
1531,1531,5_0122211021,5,L
1532,1532,6_0122211021,5,L
1533,1533,7_0122211011,5,L
1534,1534,8_0122211011,5,L
1535,1535,9_0111211021,5,L
1536,1536,10_0111001001,5,L
1537,1537,13_2111211221,5,L
1538,1538,14_2111111221,5,L
1539,1539,15_2111111221,5,L
1540,1540,16_2111111221,5,L
1541,1541,17_2112111111,5,L
1542,1542,18_0012111111,5,L
1543,1543,24_1011211101,5,L
1544,1544,25_1112211101,5,L
1545,1545,26_1111211221,5,L
1546,1546,27_1111011221,5,L
1547,1547,28_0111111221,5,L
1548,1548,29_1111111221,5,L
1556,1556,3_0112211221,3,L
1557,1557,4_2222212000,3,L
1559,1559,17_2121212221,3,L
1574,1574,10_2111212121,5,L
1575,1575,11_2111212121,5,L
1576,1576,12_2111212121,5,L
1577,1577,13_2111212121,5,L
1578,1578,20_2110211201,5,L
1579,1579,21_2110211201,5,L
1580,1580,22_2110211201,5,L
1581,1581,23_2110211201,5,L
1582,1582,24_2212212221,5,L
1583,1583,25_2212212221,5,L
1584,1584,26_2112212221,5,L
1585,1585,27_2112212221,5,L
1594,1594,32_0012211000,6,L
1595,1595,33_0012211000,6,L
1596,1596,34_0012211000,6,L
1597,1597,35_0012211000,6,L
1598,1598,36_0012211000,6,L
1599,1599,37_0012211000,6,L
1600,1600,38_0012211000,6,L
1601,1601,39_0012211000,6,L
1602,1602,40_0112210000,6,L
1603,1603,41_0112210000,6,L
1604,1604,42_0112211221,6,L
1605,1605,43_0112211221,6,L
1606,1606,44_0112211221,6,L
1607,1607,45_0112211221,6,L
1608,1608,46_0112212221,6,L
1609,1609,47_0112212221,6,L
